ProductID,ProductName,Price,ProductDescription,分類第一層,第二層,第三層
71,Days Gone By Layered Bracelet (18K),$18.00,"This dazzling layered bracelet features three unique strands: a rose gold chain, braided silver rope, and a white beaded strand.</br>",Home,Bracelets,Days Gone By Layered Bracelet (18K)
72,Draw the Line Bracelet | Gold (18K),$18.00,A fine gold chain accented with alternating gold beams.</br>,Home,Bracelets,Draw the Line Bracelet | Gold (18K)
73,Draw the Line Bracelet | Silver  (sterl.),$18.00,A fine sterling silver chain accented with alternating silver beams.</br>,Home,Bracelets,Draw the Line Bracelet | Silver  (sterl.)
74,Feathers Fly Bracelet (18K),$15.00,"Thin gold cord bracelet with metalic blue beads, a single peal and a tiny feather charm</br>",Home,Bracelets,Feathers Fly Bracelet (18K)
75,Gold Twisted Cuff,$16.00,"""""This simple and gold cuff bracelet is an easy way of accessorizing!</br>14k Gold over Stainless</br>""Measurements:</br>""15.2 cm / 5.98 in (Outside)</br>""14.5 cm / 5.7 in (Inside)</br>""",Home,Bracelets,Gold Twisted Cuff
76,Knot Your Average Cuff Bracelet,$20.00,"""""That standard must-have"" gold bracelet featuring a simple knot.</br>""• Brass</br>""Measurements:</br>""• Circumference: 6 in. / 15.24 cm.</br>""• Opening: 1 in. / 2.54 cm.</br>""",Home,Bracelets,Knot Your Average Cuff Bracelet
77,Link Up Bracelet,$18.00,"""""A simple sterling silver bracelet with a effortless charm!</br>Sterling Silver</br>""Measurements :</br>""16.5 cm./ 6.5 in</br>""Extension Chain : 19cm / 7.5 in</br>""",Home,Bracelets,Link Up Bracelet
78,Looking Sharp Diamond Bracelet (18K),$16.00,You'll always be looking sharp with this three diamond cut charm bracelet.</br>,Home,Bracelets,Looking Sharp Diamond Bracelet (18K)
79,Marquise Druzy Bracelet | Alabaster (14K),$22.00,Icy white druzy stone bracelet set in a marquise cut</br>,Home,Bracelets,Marquise Druzy Bracelet | Alabaster (14K)
80,Marquise Druzy Bracelet | Cosmic (14K),$22.00,Purple shimmer druzy stone bracelet set in a marquise cut</br>,Home,Bracelets,Marquise Druzy Bracelet | Cosmic (14K)
81,Marquise Druzy Bracelet | Mystic (14K),$22.00,Magenta shimmer druzy stone bracelet set in a marquise cut</br>,Home,Bracelets,Marquise Druzy Bracelet | Mystic (14K)
82,Marquise Druzy Bracelet | Whimsical (14K),$22.00,Rose pink druzy stone bracelet set in a marquise cut</br>,Home,Bracelets,Marquise Druzy Bracelet | Whimsical (14K)
83,Over the Moon Bracelet (18K),$16.00,Gold charm bracelet with a tiny crescent moon</br>,Home,Bracelets,Over the Moon Bracelet (18K)
84,Pure and Simple Chain Bracelet | Gold (18K),$36.00,A simple and classic gold chain bracelet.</br>,Home,Bracelets,Pure and Simple Chain Bracelet | Gold (18K)
85,Pure and Simple Chain Bracelet | Silver (sterl.),$36.00,A simple and classic gold chain bracelet.</br>,Home,Bracelets,Pure and Simple Chain Bracelet | Gold (18K)
86,Sea Life Bolo Bracelet (18K),$16.00,"""• Bolo cinch adjustable bracelet</br>""• Slip on</br>""Measurements:</br>""• Length: 10.5 in. / 26.67 cm. (at the largest circumference)</br>""",Home,Bracelets,Sea Life Bolo Bracelet (18K)
87,Seed of Life Bolo Bracelet (18K),$16.00,"""""Gold seed of life charm bracelet with strung beads and bolo cinch.</br>• Bolo cinch adjustable bracelet</br>""• Slip on</br>""Measurements:</br>""• Length: 10.5 in. / 26.67 cm. (at the largest circumference)</br>""",Home,Bracelets,Seed of Life Bolo Bracelet (18K)
88,Take Heart Bracelet | Rose Gold (14K),$16.00,Solid hearts and heart outlines join to make this dainty Take Heart Bracelet.</br>,Home,Bracelets,Take Heart Bracelet | Rose Gold (14K)
89,Take Heart Bracelet | Silver,$14.00,Solid hearts and heart outlines join to make this dainty Take Heart Bracelet.</br>,Home,Bracelets,Take Heart Bracelet | Silver
90,Thick and Thin Chain Bracelet (14K),$14.00,"""""Gold chain linked choker style necklace, a great piece for layering!</br>• 14K Gold over Stainless Steel</br>""Measurements:</br>""• Length: 5.5 in. / 13.9 cm.</br>""• Extension: 2 in. / 5.1 cm.</br>""",Home,Bracelets,Thick and Thin Chain Bracelet (14K)
91,Truly Together Bracelet (14K),$14.00,"""""A simple chain linked gold bracelet that will hold your outfit together!</br>• 14K Gold over Sterling Silver</br>""Measurements:</br>""• Length: 5.7 in. / 14.5 cm.</br>""• Extension: 1.7 in. / 4.5 cm.</br>""",Home,Bracelets,Truly Together Bracelet (14K)
92,Twisted Games Cuff Bracelet,$18.00,"""""Minimalist styled gold cuff bracelet that pairs well with other bracelets. Increase your jewelry game in our Twisted Games Cuff Bracelet.</br>• Brass</br>""Measurements:</br>""• Circumference: 6.5 in. / 16.51 cm.</br>""• Opening: .75 in. / 1.90 cm.</br>""",Home,Bracelets,Twisted Games Cuff Bracelet
93,Written in the Stars Bracelet | Gold (14K),$16.00,Single stranded charm bracelet featuring dainty stars joined together by oval links.</br>,Home,Bracelets,Written in the Stars Bracelet | Gold (14K)
94,Written in the Stars Bracelet | Rose Gold (14K),$16.00,Single stranded charm bracelet featuring dainty stars joined together by oval links.</br>,Home,Bracelets,Written in the Stars Bracelet | Rose Gold (14K)
